Paso	Presa	Depredador	Hueco
0	972	4030	4998
1	1423	3650	4927
2	1893	3518	4589
3	2237	3676	4087
4	2418	3953	3629
5	2403	4215	3382
6	2218	4473	3309
7	1977	4662	3361
8	1750	4700	3550
9	1618	4624	3758
10	1601	4470	3929
11	1592	4312	4096
12	1716	4211	4073
13	1806	4157	4037
14	1920	4120	3960
15	1993	4183	3824
16	2010	4269	3721
17	2019	4320	3661
18	1993	4398	3609
19	1926	4427	3647
20	1853	4472	3675
21	1784	4465	3751
22	1739	4444	3817
23	1713	4415	3872
24	1763	4322	3915
25	1794	4278	3928
26	1865	4282	3853
27	1886	4336	3778
28	1920	4330	3750
29	1898	4375	3727
30	1888	4387	3725
31	1840	4405	3755
32	1914	4370	3716
33	1883	4410	3707
34	1906	4347	3747
35	1884	4384	3732
36	1825	4404	3771
37	1837	4381	3782
38	1796	4393	3811
39	1770	4395	3835
40	1878	4273	3849
41	1863	4277	3860
42	1867	4322	3811
43	1898	4305	3797
44	1909	4322	3769
45	1929	4339	3732
46	1907	4392	3701
47	1843	4444	3713
48	1761	4429	3810
49	1785	4339	3876
50	1826	4299	3875
51	1880	4239	3881
52	1895	4214	3891
53	1942	4279	3779
54	1994	4341	3665
55	1991	4384	3625
56	1912	4467	3621
57	1846	4491	3663
58	1821	4532	3647
59	1796	4502	3702
60	1790	4485	3725
61	1802	4437	3761
62	1836	4385	3779
63	1825	4373	3802
64	1844	4329	3827
65	1873	4245	3882
66	1975	4200	3825
67	2064	4279	3657
68	2019	4364	3617
69	1974	4436	3590
70	1980	4447	3573
71	1932	4428	3640
72	1927	4427	3646
73	1881	4457	3662
74	1836	4501	3663
75	1786	4440	3774
76	1777	4336	3887
77	1812	4295	3893
78	1867	4238	3895
79	1845	4277	3878
80	1897	4254	3849
81	1885	4302	3813
82	1882	4337	3781
83	1918	4302	3780
84	1912	4310	3778
85	1850	4333	3817
86	1852	4294	3854
87	1858	4304	3838
88	1923	4302	3775
89	1984	4276	3740
90	2006	4390	3604
91	1921	4496	3583
92	1874	4520	3606
93	1867	4488	3645
94	1823	4414	3763
95	1825	4372	3803
96	1879	4333	3788
97	1874	4359	3767
98	1886	4351	3763
99	1911	4401	3688
100	1843	4398	3759
101	1862	4415	3723
102	1826	4420	3754
103	1749	4480	3771
104	1775	4398	3827
105	1765	4372	3863
106	1795	4279	3926
107	1789	4250	3961
108	1792	4267	3941
109	1860	4282	3858
110	1939	4283	3778
111	1926	4314	3760
112	1886	4374	3740
113	1868	4386	3746
114	1789	4469	3742
115	1767	4460	3773
116	1742	4357	3901
117	1824	4312	3864
118	1842	4303	3855
119	1875	4254	3871
120	1868	4271	3861
121	1967	4239	3794
122	2018	4317	3665
123	2006	4375	3619
124	1951	4448	3601
125	1814	4514	3672
126	1776	4446	3778
127	1740	4381	3879
128	1735	4301	3964
129	1797	4241	3962
130	1838	4198	3964
131	1857	4213	3930
132	1920	4210	3870
133	2006	4224	3770
134	1990	4277	3733
135	1945	4374	3681
136	1967	4375	3658
137	1982	4369	3649
138	1949	4405	3646
139	1899	4498	3603
140	1863	4508	3629
141	1747	4540	3713
142	1702	4514	3784
143	1690	4405	3905
144	1712	4339	3949
145	1814	4229	3957
146	1895	4208	3897
147	1842	4254	3904
148	1930	4265	3805
149	1949	4279	3772
150	1953	4313	3734
151	1929	4344	3727
152	1898	4389	3713
153	1910	4395	3695
154	1855	4406	3739
155	1843	4353	3804
156	1833	4354	3813
157	1880	4304	3816
158	1904	4230	3866
159	1937	4241	3822
160	1941	4286	3773
161	1930	4257	3813
162	1941	4283	3776
163	1975	4286	3739
164	1901	4374	3725
165	1877	4383	3740
166	1843	4396	3761
167	1891	4345	3764
168	1835	4380	3785
169	1797	4402	3801
170	1812	4380	3808
171	1809	4355	3836
172	1838	4329	3833
173	1822	4343	3835
174	1845	4336	3819
175	1841	4329	3830
176	1856	4254	3890
177	1861	4235	3904
178	1957	4171	3872
179	2018	4215	3767
180	1997	4230	3773
181	2011	4315	3674
182	1952	4431	3617
183	1850	4480	3670
184	1751	4450	3799
185	1807	4327	3866
186	1883	4257	3860
187	1961	4196	3843
188	1957	4291	3752
189	1918	4300	3782
190	1919	4273	3808
191	1958	4263	3779
192	2006	4265	3729
193	2014	4319	3667
194	1974	4366	3660
195	1918	4433	3649
196	1841	4442	3717
197	1768	4455	3777
198	1765	4330	3905
199	1859	4240	3901
200	1905	4236	3859
201	1942	4241	3817
202	2000	4290	3710
203	2013	4312	3675
204	2001	4306	3693
205	1976	4346	3678
206	1928	4404	3668
207	1925	4373	3702
208	1898	4373	3729
209	1933	4354	3713
210	1899	4431	3670
211	1837	4490	3673
212	1824	4459	3717
213	1842	4416	3742
214	1796	4453	3751
215	1751	4435	3814
216	1739	4402	3859
217	1757	4329	3914
218	1778	4335	3887
219	1797	4336	3867
220	1848	4302	3850
221	1844	4317	3839
222	1874	4286	3840
223	1952	4296	3752
224	1961	4325	3714
225	1977	4370	3653
226	1951	4407	3642
227	1888	4416	3696
228	1816	4458	3726
229	1744	4449	3807
230	1724	4434	3842
231	1757	4385	3858
232	1742	4284	3974
233	1760	4265	3975
234	1816	4139	4045
235	1929	4174	3897
236	1969	4239	3792
237	1984	4303	3713
238	1910	4382	3708
239	1903	4394	3703
240	1910	4337	3753
241	1894	4311	3795
242	1853	4349	3798
243	1812	4363	3825
244	1726	4352	3922
245	1740	4337	3923
246	1807	4288	3905
247	1876	4283	3841
248	1875	4337	3788
249	1884	4359	3757
250	1858	4374	3768
251	1842	4360	3798
252	1845	4351	3804
253	1909	4333	3758
254	1891	4402	3707
255	1883	4397	3720
256	1807	4452	3741
257	1780	4405	3815
258	1737	4408	3855
259	1801	4343	3856
260	1823	4324	3853
261	1838	4305	3857
262	1909	4287	3804
263	1977	4265	3758
264	1993	4301	3706
265	1928	4402	3670
266	1953	4445	3602
267	1899	4551	3550
268	1778	4525	3697
269	1797	4415	3788
270	1794	4344	3862
271	1779	4280	3941
272	1813	4215	3972
273	1878	4213	3909
274	1925	4217	3858
275	2029	4222	3749
276	1995	4298	3707
277	1946	4376	3678
278	1843	4461	3696
279	1818	4407	3775
280	1865	4376	3759
281	1842	4367	3791
282	1844	4371	3785
283	1865	4350	3785
284	1839	4353	3808
285	1801	4307	3892
286	1813	4269	3918
287	1850	4221	3929
288	1931	4202	3867
289	1948	4266	3786
290	2027	4251	3722
291	2059	4269	3672
292	2049	4334	3617
293	2025	4456	3519
294	1872	4594	3534
295	1751	4579	3670
296	1725	4482	3793
297	1727	4379	3894
298	1794	4321	3885
299	1864	4279	3857
300	1895	4262	3843
301	1951	4274	3775
302	1878	4398	3724
303	1798	4426	3776
304	1772	4412	3816
305	1806	4379	3815
306	1825	4372	3803
307	1814	4357	3829
308	1827	4353	3820
309	1815	4372	3813
310	1829	4376	3795
