Paso	Presa	Depredador	Hueco
0	104	400	496
1	111	335	554
2	119	283	598
3	123	240	637
4	132	197	671
5	134	159	707
6	131	133	736
7	132	114	754
8	134	103	763
9	134	95	771
10	134	79	787
11	140	68	792
12	147	57	796
13	155	41	804
14	154	36	810
15	162	31	807
16	170	25	805
17	175	23	802
18	183	19	798
19	187	16	797
20	187	13	800
21	192	12	796
22	199	9	792
23	205	8	787
24	210	10	780
25	211	11	778
26	214	10	776
27	217	10	773
28	219	10	771
29	221	10	769
30	225	10	765
31	229	7	764
32	231	5	764
33	234	4	762
34	235	5	760
35	234	5	761
36	234	6	760
37	237	6	757
38	241	4	755
39	242	4	754
40	244	5	751
41	246	3	751
42	250	3	747
43	255	2	743
44	263	2	735
45	269	2	729
46	275	3	722
47	275	4	721
48	278	3	719
49	280	5	715
50	283	5	712
51	281	10	709
52	280	13	707
53	284	11	705
54	288	12	700
55	291	11	698
56	296	10	694
57	298	10	692
58	298	11	691
59	296	8	696
60	298	5	697
61	299	4	697
62	300	2	698
63	303	1	696
64	304	1	695
65	310	1	689
66	313	1	686
67	316	1	683
68	316	1	683
69	317	1	682
70	317	1	682
71	316	2	682
72	314	5	681
73	311	8	681
74	310	8	682
75	310	9	681
76	309	11	680
77	302	12	686
78	302	11	687
79	303	11	686
80	301	13	686
81	301	13	686
82	304	10	686
83	304	11	685
84	301	12	687
85	299	14	687
86	302	9	689
87	305	10	685
88	304	7	689
89	304	8	688
90	306	9	685
91	307	9	684
92	306	11	683
93	303	12	685
94	300	14	686
95	302	11	687
96	303	11	686
97	302	10	688
98	301	12	687
99	300	12	688
100	297	12	691
101	297	13	690
102	300	15	685
103	301	12	687
104	298	15	687
105	297	15	688
106	298	16	686
107	299	13	688
108	303	11	686
109	303	13	684
110	305	11	684
111	304	10	686
112	302	11	687
113	303	11	686
114	300	15	685
115	301	13	686
116	297	12	691
117	298	15	687
118	299	10	691
119	301	8	691
120	300	8	692
121	302	4	694
122	310	4	686
123	315	4	681
124	318	5	677
125	317	7	676
126	315	10	675
127	309	12	679
128	303	17	680
129	301	15	684
130	295	19	686
131	294	19	687
132	293	21	686
133	290	22	688
134	284	25	691
135	284	22	694
136	283	21	696
137	283	19	698
138	287	18	695
139	285	16	699
140	289	11	700
141	290	11	699
142	290	11	699
143	288	13	699
144	287	15	698
145	284	16	700
146	282	15	703
147	281	15	704
148	282	16	702
149	282	17	701
150	279	16	705
151	279	15	706
152	280	13	707
153	283	12	705
154	291	10	699
155	291	10	699
156	291	12	697
157	297	12	691
158	299	13	688
159	299	11	690
160	300	11	689
161	298	13	689
162	295	16	689
163	291	16	693
164	288	18	694
165	289	15	696
166	287	16	697
167	280	24	696
168	275	24	701
169	274	21	705
170	271	21	708
171	271	18	711
172	274	13	713
173	277	14	709
174	277	14	709
175	282	14	704
176	283	14	703
177	285	10	705
178	285	11	704
179	283	12	705
180	285	11	704
181	288	9	703
182	290	11	699
183	297	9	694
184	298	9	693
185	299	10	691
186	298	9	693
187	297	12	691
188	294	15	691
189	291	15	694
190	290	13	697
191	287	12	701
192	289	11	700
193	289	12	699
194	290	13	697
195	291	13	696
196	296	8	696
197	297	10	693
198	301	10	689
199	302	11	687
200	303	11	686
201	301	11	688
202	301	9	690
203	302	10	688
204	301	12	687
205	299	10	691
206	299	10	691
207	298	13	689
208	297	10	693
209	295	8	697
210	298	5	697
211	297	7	696
212	298	11	691
213	296	11	693
214	299	7	694
215	300	8	692
216	301	5	694
217	301	7	692
218	300	9	691
219	302	8	690
220	301	8	691
221	303	8	689
222	303	10	687
223	302	9	689
224	299	12	689
225	300	10	690
226	300	9	691
227	301	8	691
228	302	4	694
229	304	3	693
230	306	2	692
231	309	2	689
232	314	2	684
233	315	3	682
234	315	5	680
235	313	7	680
236	311	5	684
237	309	8	683
238	308	12	680
239	306	12	682
240	303	16	681
241	298	18	684
242	296	17	687
243	298	13	689
244	296	14	690
245	299	13	688
246	298	16	686
247	300	15	685
248	298	18	684
249	296	21	683
250	292	21	687
251	293	22	685
252	291	22	687
253	293	16	691
254	290	20	690
255	288	18	694
256	287	13	700
257	286	14	700
258	284	18	698
259	283	19	698
260	278	21	701
261	276	20	704
262	274	19	707
263	273	15	712
264	275	13	712
265	274	14	712
266	273	16	711
267	273	13	714
268	275	13	712
269	274	10	716
270	274	11	715
271	275	11	714
272	273	10	717
273	273	12	715
274	271	12	717
275	273	11	716
276	274	11	715
277	274	10	716
278	275	10	715
279	278	9	713
280	281	7	712
281	283	9	708
282	283	8	709
283	280	12	708
284	279	16	705
285	275	18	707
286	276	17	707
287	277	14	709
288	276	14	710
289	281	14	705
290	283	15	702
291	285	13	702
292	285	14	701
293	288	14	698
294	288	13	699
295	290	14	696
296	292	11	697
297	298	9	693
298	304	6	690
299	309	4	687
300	309	4	687
301	310	2	688
302	312	1	687
303	314	1	685
304	316	1	683
305	320	1	679
306	321	1	678
307	323	1	676
308	323	1	676
309	323	1	676
310	324	1	675
311	324	2	674
312	324	2	674
313	323	3	674
314	324	3	673
315	324	3	673
316	323	4	673
317	323	4	673
318	322	4	674
319	321	4	675
320	321	3	676
321	322	3	675
322	322	3	675
323	322	2	676
324	322	1	677
325	323	1	676
326	323	2	675
327	324	1	675
328	325	1	674
329	325	0	675
330	325	0	675
331	326	0	674
332	326	0	674
333	326	0	674
334	326	0	674
335	327	0	673
336	327	0	673
337	327	0	673
338	327	0	673
339	327	0	673
340	328	0	672
341	328	0	672
342	328	0	672
343	328	0	672
344	328	0	672
345	328	0	672
346	328	0	672
347	328	0	672
348	328	0	672
349	328	0	672
350	328	0	672
351	328	0	672
352	328	0	672
