# alpha	mu	P_est	D_est	regimen
0.05	0.05	461	9044	0
0.05	0.10	853	8321	0
0.05	0.15	1204	7621	0
0.05	0.20	1425	7141	0
0.05	0.25	1631	6660	0
0.05	0.30	1827	6266	0
0.05	0.35	1999	6003	0
0.05	0.40	2248	5520	0
0.05	0.45	2335	5262	0
0.05	0.50	2409	5053	0
0.05	0.55	2565	4798	0
0.05	0.60	2694	4623	0
0.05	0.65	2763	4400	0
0.05	0.70	2843	4259	0
0.05	0.85	3154	3727	0


0.10	0.05	467	9074	0
0.10	0.10	818	8354	0
0.10	0.15	1153	7751	0
0.10	0.20	1444	7181	0
0.10	0.25	1622	6694	0
0.10	0.30	1822	6338	0
0.10	0.35	2089	5813	0
0.10	0.40	2234	5517	0
0.10	0.45	2389	5205	0
0.10	0.50	2438	4960	0
0.10	0.55	2658	4741	0
0.10	0.60	2716	4598	0
0.10	0.65	2826	4444	0
0.10	0.70	2903	4049	0
0.10	0.85	3224	3727	0


0.15	0.05	463	9093	0
0.15	0.10	849	8293	0
0.15	0.15	1173	7679	0
0.15	0.20	1452	7138	0
0.15	0.25	1646	6661	0
0.15	0.30	1857	6316	0
0.15	0.35	2049	5848	0
0.15	0.40	2177	5511	0
0.15	0.45	2356	5221	0
0.15	0.50	2404	5053	0
0.15	0.55	2634	4814	0
0.15	0.60	2705	4482	0
0.15	0.65	2834	4372	0
0.15	0.70	2892	4189	0
0.15	0.85	3138	3655	0


0.20	0.05	476	9094	0
0.20	0.10	802	8401	0
0.20	0.15	1112	7736	0
0.20	0.20	1389	7172	0
0.20	0.25	1564	6759	0
0.20	0.30	1874	6225	0
0.20	0.35	2125	5828	0
0.20	0.40	2183	5625	0
0.20	0.45	2340	5316	0
0.20	0.50	2541	4952	0
0.20	0.55	2717	4757	0
0.20	0.60	2777	4419	0
0.20	0.65	2871	4315	0
0.20	0.70	2886	4172	0
0.20	0.85	3130	3766	0


0.25	0.05	461	9068	0
0.25	0.10	845	8331	0
0.25	0.15	1152	7668	0
0.25	0.20	1434	7062	0
0.25	0.25	1666	6626	0
0.25	0.30	1872	6306	0
0.25	0.35	2066	5866	0
0.25	0.40	2173	5548	0
0.25	0.45	2306	5273	0
0.25	0.50	2485	4977	0
0.25	0.55	2603	4757	0
0.25	0.60	2674	4549	0
0.25	0.65	2837	4394	0
0.25	0.70	2903	4214	0
