# beta	mu	P_est	D_est	regimen
0.05	0.05	403	428	0
0.05	0.10	745	180	0
0.05	0.15	977	0	1
0.05	0.20	969	0	1
0.05	0.25	961	0	1
0.05	0.30	960	0	1
0.05	0.35	956	0	1
0.05	0.40	955	0	1
0.05	0.45	962	0	1
0.05	0.50	967	0	1
0.05	0.55	964	0	1
0.05	0.60	965	0	1
0.05	0.65	971	0	1
0.05	0.70	965	0	1
0.05	0.85	965	0	1


0.10	0.05	241	449	0
0.10	0.10	410	385	0
0.10	0.15	607	243	0
0.10	0.20	736	152	0
0.10	0.25	962	0	1
0.10	0.30	953	0	1
0.10	0.35	963	0	1
0.10	0.40	963	0	1
0.10	0.45	970	0	1
0.10	0.50	957	0	1
0.10	0.55	964	0	1
0.10	0.60	957	0	1
0.10	0.65	969	0	1
0.10	0.70	972	0	1
0.10	0.85	954	0	1


0.15	0.05	137	466	0
0.15	0.10	281	406	0
0.15	0.15	383	345	0
0.15	0.20	551	266	0
0.15	0.25	625	201	0
0.15	0.30	747	134	0
0.15	0.35	871	55	0
0.15	0.40	943	15	0
0.15	0.45	976	0	1
0.15	0.50	968	0	1
0.15	0.55	965	0	1
0.15	0.60	966	0	1
0.15	0.65	973	0	1
0.15	0.70	969	0	1
0.15	0.85	963	0	1


0.20	0.05	144	421	0
0.20	0.10	249	398	0
0.20	0.15	311	343	0
0.20	0.20	453	286	0
0.20	0.25	506	257	0
0.20	0.30	555	211	0
0.20	0.35	671	151	0
0.20	0.40	767	101	0
0.20	0.45	920	28	0
0.20	0.50	915	24	0
0.20	0.55	969	0	1
0.20	0.60	968	0	1
0.20	0.65	965	0	1
0.20	0.70	959	0	1
0.20	0.85	970	0	1


0.25	0.05	136	406	0
0.25	0.10	183	364	0
0.25	0.15	211	340	0
0.25	0.20	314	313	0
0.25	0.25	388	289	0
0.25	0.30	523	221	0
0.25	0.35	536	224	0
0.25	0.40	619	186	0
0.25	0.45	664	149	0
0.25	0.50	751	108	0
0.25	0.55	790	89	0
0.25	0.60	846	48	0
0.25	0.65	871	42	0
0.25	0.70	962	0	1
0.25	0.85	968	0	1


0.30	0.05	79	533	0
0.30	0.10	172	419	0
0.30	0.15	197	357	0
0.30	0.20	279	343	0
0.30	0.25	356	256	0
0.30	0.30	471	235	0
0.30	0.35	511	215	0
0.30	0.40	572	181	0
