Paso	Presa	Depredador	Hueco
0	5051	2031	2918
1	2918	6860	222
2	222	9100	678
3	676	8401	923
4	923	8246	831
5	831	8329	840
6	840	8359	801
7	801	8320	879
8	879	8258	863
9	863	8226	911
10	911	8304	785
11	785	8400	815
12	815	8355	830
13	830	8327	843
14	843	8285	872
15	872	8297	831
16	831	8386	783
17	783	8369	848
18	848	8283	869
19	869	8273	858
20	858	8348	794
21	794	8368	838
22	838	8290	872
23	872	8310	818
24	818	8375	807
25	807	8372	821
26	821	8377	802
27	802	8386	812
28	812	8371	817
29	817	8347	836
30	836	8332	832
31	832	8309	859
32	859	8332	809
33	809	8359	832
34	832	8346	822
35	822	8335	843
36	843	8360	797
37	797	8336	867
38	867	8287	846
39	846	8293	861
40	861	8270	869
41	869	8342	789
42	789	8410	801
43	801	8354	845
44	845	8268	887
45	887	8310	803
46	803	8344	853
47	853	8364	783
48	783	8355	862
49	862	8297	841
