Paso	Presa	Depredador	Hueco
0	4974	2054	2972
1	2972	6834	194
2	194	9131	675
3	673	8426	901
4	901	8237	862
5	862	8371	767
6	767	8380	853
7	853	8267	880
8	880	8275	845
9	845	8365	790
10	790	8369	841
11	841	8333	826
12	826	8381	793
13	793	8392	815
14	815	8372	813
15	813	8351	836
16	836	8304	860
17	860	8309	831
18	831	8396	773
19	773	8364	863
20	863	8333	804
21	804	8356	840
22	840	8328	832
23	832	8349	819
24	819	8365	816
25	816	8352	832
26	832	8317	851
27	851	8325	824
28	824	8343	833
29	833	8316	851
30	851	8331	818
31	818	8364	818
32	818	8314	868
33	868	8282	850
34	850	8339	811
35	811	8385	804
36	804	8362	834
37	834	8359	807
38	807	8385	808
39	808	8350	842
40	842	8339	819
41	819	8352	829
42	829	8349	822
43	822	8338	840
44	840	8315	845
45	845	8404	751
46	751	8422	827
47	827	8316	857
48	857	8322	821
49	821	8369	810
